,Unnamed: 0,product_title,product_category,review_body,review_headline,star_rating,total_votes,word_length,keywords
0,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Cover, Slim, Hard, G4, LG"
1,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Clear, LG, Transparent, LG"
2,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Slim, wireless"
3,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4, circle"
4,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Clear, Slim, Cover, Motorola"
5,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4"
6,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Slim, Hard, G4, LG, Clear, Transparent, Cover, LG, nice"
7,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4, turning"
8,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Cover, Slim, Hard, Clear, G4, Transparent, LG, LG, watch"
9,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG, Cover, LG, Transparent, Clear, G4, Hard, watch"
10,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4, charging"
11,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"G4, Hard, Clear, hole, ended"
12,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"Hard, Clear, G4, Cover, Slim, installed, circle, apps"
13,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4"
14,0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82,"LG G4 Case Hard Transparent Slim Clear Cover, LG G4, twice"
